season,date,match_number,match_type,venue,location,team1,team2,toss_won,toss_decision,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,man_of_match
2022,15-04-2022,25,,"Brabourne Stadium, Mumbai",Mumbai,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,GR Sadashiv Iyer,VK Sharma,PG Pathak,Prakash Bhatt,Sunrisers Hyderabad,0,7,RA Tripathi
2022,16-04-2022,26,,"Brabourne Stadium, Mumbai",Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,AK Chaudhary,NA Patwardhan,YC Barde,Shakti Singh,Lucknow Super Giants,18,0,KL Rahul
2022,16-04-2022,27,,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Chirra Ravikanthreddy,J Madanagopal,N Pandit,J Srinath,Royal Challengers Bangalore,16,0,KD Karthik
2022,17-04-2022,28,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,PG Pathak,R Pandit,A Totre,DS Manohar,Sunrisers Hyderabad,0,7,Umran Malik
2022,17-04-2022,29,,"Maharashtra Cricket Association Stadium, Pune",Pune,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,KN Ananthapadmanabhan,UV Gandhe,Vinod Seshan,V Narayan Kutty,Gujarat Titans,0,3,DA Miller
2022,18-04-2022,30,,"Brabourne Stadium, Mumbai",Mumbai,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,GR Sadashiv Iyer,VK Sharma,NA Patwardhan,M Nayyar,Rajasthan Royals,7,0,YS Chahal
2022,19-04-2022,31,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,CB Gaffaney,N Pandit,Chirra Ravikanthreddy,Prakash Bhatt,Royal Challengers Bangalore,18,0,F du Plessis
2022,20-04-2022,32,,"Brabourne Stadium, Mumbai",Mumbai,Punjab Kings,Delhi Capitals,Delhi Capitals,field,RJ Tucker,Tapan Sharma,R Pandit,Shakti Singh,Delhi Capitals,0,9,Kuldeep Yadav
2022,21-04-2022,33,,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,BNJ Oxenford,UV Gandhe,MV Saidharshan Kumar,V Narayan Kutty,Chennai Super Kings,0,3,Mukesh Choudhary
2022,22-04-2022,34,,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,NA Patwardhan,Nitin Menon,GR Sadashiv Iyer,DS Manohar,Rajasthan Royals,15,0,JC Buttler
2022,23-04-2022,35,,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,KN Ananthapadmanabhan,UV Gandhe,Vinod Seshan,V Narayan Kutty,Gujarat Titans,8,0,Rashid Khan
2022,23-04-2022,36,,"Brabourne Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chirra Ravikanthreddy,J Madanagopal,HAS Khalid,M Nayyar,Sunrisers Hyderabad,0,9,M Jansen
2022,24-04-2022,37,,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,M Erasmus,HAS Khalid,N Pandit,Shakti Singh,Lucknow Super Giants,36,0,KL Rahul
2022,25-04-2022,38,,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,M Erasmus,Tapan Sharma,R Pandit,Prakash Bhatt,Punjab Kings,11,0,S Dhawan
2022,26-04-2022,39,,"Maharashtra Cricket Association Stadium, Pune",Pune,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,BNJ Oxenford,KN Ananthapadmanabhan,MV Saidharshan Kumar,V Narayan Kutty,Rajasthan Royals,29,0,R Parag
2022,27-04-2022,40,,"Wankhede Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,CB Gaffaney,Navdeep Singh,GR Sadashiv Iyer,Shakti Singh,Gujarat Titans,0,5,Umran Malik
2022,28-04-2022,41,,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,AK Chaudhary,PG Pathak,A Totre,DS Manohar,Delhi Capitals,0,4,Kuldeep Yadav
2022,29-04-2022,42,,"Maharashtra Cricket Association Stadium, Pune",Pune,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,MA Gough,UV Gandhe,Vinod Seshan,V Narayan Kutty,Lucknow Super Giants,20,0,KH Pandya
2022,30-04-2022,43,,"Brabourne Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,HAS Khalid,VK Sharma,Chirra Ravikanthreddy,Shakti Singh,Gujarat Titans,0,6,R Tewatia
2022,30-04-2022,44,,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,BNJ Oxenford,YC Barde,Tapan Sharma,M Nayyar,Mumbai Indians,0,5,SA Yadav
2022,01-05-2022,45,,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Chirra Ravikanthreddy,CB Gaffaney,A Totre,Prakash Bhatt,Lucknow Super Giants,6,0,Mohsin Khan
2022,01-05-2022,46,,"Maharashtra Cricket Association Stadium, Pune",Pune,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,AK Chaudhary,KN Ananthapadmanabhan,MV Saidharshan Kumar,V Narayan Kutty,Chennai Super Kings,13,0,RD Gaikwad
