match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
40,9,2,1.3,6,W Saha,Marco Jansen,"Marco Jansen to W Saha, Six runs",6
40,10,2,1.4,1,W Saha,Marco Jansen,"Marco Jansen to W Saha, 1 run",1
40,11,2,1.5,0,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, no run",0
40,12,2,1.6,1wd,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, 5 wide",5
40,13,2,1.6,1,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, 1 run",1
40,14,2,2.1,0,Shubman Gill,Bhuvneshwar,"Bhuvneshwar to Shubman Gill, no run",0
40,15,2,2.2,1,Shubman Gill,Bhuvneshwar,"Bhuvneshwar to Shubman Gill, 1 run",1
40,16,2,2.3,4,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, Four runs",4
40,17,2,2.4,1,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, 1 run",1
40,18,2,2.5,1,Shubman Gill,Bhuvneshwar,"Bhuvneshwar to Shubman Gill, 1 run",1
40,19,2,2.6,4,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, Four runs",4
40,20,2,3.1,0,Shubman Gill,T Natarajan,"T Natarajan to Shubman Gill, no run",0
40,21,2,3.2,4,Shubman Gill,T Natarajan,"T Natarajan to Shubman Gill, Four runs",4
40,22,2,3.3,1,Shubman Gill,T Natarajan,"T Natarajan to Shubman Gill, 1 run",1
40,23,2,3.4,0,W Saha,T Natarajan,"T Natarajan to W Saha, no run",0
40,24,2,3.5,0,W Saha,T Natarajan,"T Natarajan to W Saha, no run",0
40,25,2,3.6,4,W Saha,T Natarajan,"T Natarajan to W Saha, Four runs",4
40,26,2,4.1,0,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, no run",0
40,27,2,4.2,0,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, no run",0
40,28,2,4.3,1,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, 1 run",1
40,29,2,4.4,4,W Saha,Marco Jansen,"Marco Jansen to W Saha, Four runs",4
40,30,2,4.5,1,W Saha,Marco Jansen,"Marco Jansen to W Saha, 1 run",1
40,31,2,4.6,1,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, 1 run",1
40,32,2,5.1,2,Shubman Gill,T Natarajan,"T Natarajan to Shubman Gill, 2 runs",2
40,33,2,5.2,1,Shubman Gill,T Natarajan,"T Natarajan to Shubman Gill, 1 run",1
40,34,2,5.3,4,W Saha,T Natarajan,"T Natarajan to W Saha, Four runs",4
40,35,2,5.4,4,W Saha,T Natarajan,"T Natarajan to W Saha, Four runs",4
40,36,2,5.5,1,W Saha,T Natarajan,"T Natarajan to W Saha, 1 run",1
40,37,2,5.6,0,Shubman Gill,T Natarajan,"T Natarajan to Shubman Gill, no run",0
40,38,2,6.1,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,39,2,6.2,0,Shubman Gill,Washington Sundar,"Washington Sundar to Shubman Gill, no run",0
40,40,2,6.3,6,Shubman Gill,Washington Sundar,"Washington Sundar to Shubman Gill, Six runs",6
40,41,2,6.4,0,Shubman Gill,Washington Sundar,"Washington Sundar to Shubman Gill, no run",0
40,42,2,6.5,1,Shubman Gill,Washington Sundar,"Washington Sundar to Shubman Gill, 1 run",1
40,43,2,6.6,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,44,2,7.1,0,W Saha,Umran Malik,"Umran Malik to W Saha, no run",0
40,45,2,7.2,1,W Saha,Umran Malik,"Umran Malik to W Saha, 1 run",1
40,46,2,7.3,0,Shubman Gill,Umran Malik,"Umran Malik to Shubman Gill, no run",0
40,47,2,7.4,w,Shubman Gill,Umran Malik,"Umran Malik to Shubman Gill, no run Wicket - b Umran Malik batsmen",0
40,48,2,7.5,0,Hardik Pandya,Umran Malik,"Umran Malik to Hardik Pandya, no run",0
40,49,2,7.6,4,Hardik Pandya,Umran Malik,"Umran Malik to Hardik Pandya, Four runs",4
40,50,2,8.1,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,51,2,8.2,1,Hardik Pandya,Washington Sundar,"Washington Sundar to Hardik Pandya, 1 run",1
40,52,2,8.3,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,53,2,8.4,1,Hardik Pandya,Washington Sundar,"Washington Sundar to Hardik Pandya, 1 run",1
40,54,2,8.5,4,W Saha,Washington Sundar,"Washington Sundar to W Saha, Four runs",4
40,55,2,8.6,0,W Saha,Washington Sundar,"Washington Sundar to W Saha, no run",0
40,56,2,9.1,4,Hardik Pandya,Umran Malik,"Umran Malik to Hardik Pandya, Four runs",4
40,57,2,9.2,w,Hardik Pandya,Umran Malik,"Umran Malik to Hardik Pandya, no run Wicket - c Marco Jansen b Umran Malik batsmen",0
40,58,2,9.3,4,Miller,Umran Malik,"Umran Malik to Miller, Four runs",4
40,59,2,9.4,0,Miller,Umran Malik,"Umran Malik to Miller, no run",0
40,60,2,9.5,1lb,Miller,Umran Malik,"Umran Malik to Miller, 1 leg bye",1
40,61,2,9.6,1,W Saha,Umran Malik,"Umran Malik to W Saha, 1 run",1
40,62,2,10.1,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
